textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
ef7ef8e474,"['im', 'updat', 'brett', 'phone', 'beep', 'realli', 'look', 'wed', 'stuff', 'againfor', 'next', 'five', 'month']",neutral,noon,21-30,Cyprus,1207359.0,9240.0,131.0
d3d7b13278,"['hi', 'agre', 'small', 'children', 'run', 'happi', 'break', 'tear']",positive,night,31-45,Czechia (Czech Republic),10708981.0,77240.0,139.0
ddc07db84e,"['hope', 'ur', 'havin', 'fun', 'da', 'club']",positive,morning,46-60,Democratic Republic of the Congo,89561403.0,2267050.0,40.0
67afe60d31,"['miss', 'old', 'phone', 'work', 'good', 'drop', 'want', 'new', 'one', 'birthday']",neutral,noon,60-70,Denmark,5792202.0,42430.0,137.0
17d18ba9ef,"['think', 'sg', 'wonder']",positive,night,70-100,Djibouti,988000.0,23180.0,43.0
ab57d75f20,"['im', 'realli', 'sorri', 'know', 'wallah', 'u', 'feel', 'life', 'shittttttttt']",negative,morning,0-20,Dominica,71986.0,750.0,96.0
f0acd25d8e,['happi'],negative,noon,21-30,Dominican Republic,10847910.0,48300.0,225.0
cf3b068b03,"['watch', 'acoust', 'perform', 'mood', 'good', 'friend', 'episod', 'miss', 'show']",neutral,night,31-45,Ecuador,17643054.0,248360.0,71.0
d6c34fa875,"['ill', 'oscil', 'one']",neutral,morning,46-60,Egypt,102334404.0,995450.0,103.0
614aed9113,"['im', 'tiredand', 'insomnia']",negative,noon,60-70,El Salvador,6486205.0,20720.0,313.0
dfa577d3c1,"['thank', 'ennio']",positive,night,70-100,Equatorial Guinea,1402985.0,28050.0,50.0
10dcbe4dfb,"['total', 'come', 'get', 'bring', 'kelslaw', 'hous']",neutral,morning,0-20,Eritrea,3546421.0,101000.0,35.0
a0bfb12773,"['seem', 'nice', 'your', 'gener', 'know', 'stuff']",positive,noon,21-30,Estonia,1326535.0,42390.0,31.0
71f4a9b495,"['u', 'dirrrrrti', 'oh', 'pick', 'hawk', 'figur', 'need', 'longshot', 'better', 'bet', 'car']",neutral,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164.0,17200.0,67.0
d33ed264b3,"['almost', 'got', 'kitti', 'yesterdaybut', 'didnt', 'work']",neutral,morning,46-60,Ethiopia,114963588.0,1000000.0,115.0
77f88ea9e2,"['realiti', 'need', 'check', 'school', 'time', 'parti', 'tonight', 'tho', 'im', 'go', 'bed', 'night', 'night']",neutral,noon,60-70,Fiji,896445.0,18270.0,49.0
fe1deac869,"['caladesi', 'definit', 'nice', 'peac', 'way', 'spend', 'sunday', 'got', 'lil', 'tan']",positive,night,70-100,Finland,5540720.0,304000.0,18.0
e591a725ef,"['still', 'dont', 'know', 'would', 'though']",neutral,morning,0-20,France,65273511.0,547557.0,119.0
2dbb28cc29,"['xo', 'dang', 'certain', 'okay']",neutral,noon,21-30,Gabon,2225734.0,257670.0,9.0
a7e4ad250a,"['chang', 'plan', 'stay', 'brandon', 'papaya', 'salad']",neutral,night,31-45,Gambia,2416668.0,10120.0,239.0
7d87899024,"['dear', 'rain', 'suck', 'got', 'ta', 'chang', 'plan', 'tonight']",negative,morning,46-60,Georgia,3989167.0,69490.0,57.0
461b51fa58,"['starbuck', 'love', 'eff', 'school', 'work', 'later']",neutral,noon,60-70,Germany,83783942.0,348560.0,240.0
c31d79c440,"['cri', 'whilst', 'watch', 'hollyoak', 'need', 'life', 'lol']",negative,night,70-100,Ghana,31072940.0,227540.0,137.0
32ee7ef6c2,"['hi', 'recov', 'parti', 'look', 'forward', 'excit', 'bank', 'holiday', 'around', 'diy', 'shopslif', 'cant', 'get', 'much', 'bettersur']",positive,morning,0-20,Greece,10423054.0,128900.0,81.0
29f805a7d2,"['termin', 'salvat']",neutral,noon,21-30,Grenada,112523.0,340.0,331.0
d41fe360e4,"['fortheloss', 'dumbfac', 'u', 'u', 'wknd', 'wan', 'na', 'seeeeeee', 'ya']",negative,night,31-45,Guatemala,17915568.0,107160.0,167.0
a04c8c8695,"['enter', 'registr', 'detail', 'everi', 'time', 'updat']",neutral,morning,46-60,Guinea,13132795.0,246000.0,53.0
25e42b2bf2,"['monday', 'wont', 'abl', 'love']",positive,noon,60-70,Guinea-Bissau,1968001.0,28120.0,70.0
5843d17b1d,"['ur', 'cuteim', 'fan', 'dream', 'littl', 'dream', 'kiss', 'appear', 'like', 'dawson', 'creek', 'make', 'flick']",positive,night,70-100,Guyana,786552.0,196850.0,4.0
474d10ff48,"['tgif', 'righti', 'think', 'broke', 'toe', 'last', 'night', 'bad', 'foot']",neutral,morning,0-20,Haiti,11402528.0,27560.0,414.0
38e69da3a1,"['oherr', 'soon', 'plan', 'parti', 'saturday', 'x']",neutral,noon,21-30,Holy See,801.0,0.0,2003.0
972dc5787d,"['lamont', 'yr', 'young', 'look', 'dude']",positive,night,31-45,Honduras,9904607.0,111890.0,89.0
0ba6aaf9aa,"['hmmm', 'wrong', 'link', 'ignor', 'tweet']",negative,morning,46-60,Hungary,9660351.0,90530.0,107.0
7a81537034,"['att', 'cheat', 'system', 'green', 'day', 'ticket', 'att']",negative,noon,60-70,Iceland,341243.0,100250.0,3.0
311d2b185b,"['traci', 'berwick', 'break', 'achi', 'breaki', 'heart', 'split', 'way', 'hallway']",negative,night,70-100,India,1380004385.0,2973190.0,464.0
1e46d72ec6,"['yep', 'wish', 'play', 'dubiln']",positive,morning,0-20,Indonesia,273523615.0,1811570.0,151.0
390f169584,"['im', 'ladi', 'ladi', 'dont', 'move', 'couch', 'direct', 'couch', 'go']",neutral,noon,21-30,Iran,83992949.0,1630000.0,52.0
58129e4130,"['yay', 'block', 'parti', 'your', 'bomb', 'blockhead', '3', 'dave', 'thank', 'support', 'nkotb']",positive,night,31-45,Iraq,40222493.0,434320.0,93.0
e6c9e5e3ab,"['26th', 'februari']",neutral,morning,46-60,Ireland,4937786.0,68890.0,72.0
cb5e709de8,"['guess', 'mom', 'adopt', 'kitti', 'today', '11', 'month', 'name', 'corki']",neutral,noon,60-70,Israel,8655535.0,21640.0,400.0
a14b4ff440,"['happi', 'birthday', 'snicker', 'hope', 'best', 'day', 'ever', 'let', 'go', 'shop']",positive,night,70-100,Italy,60461826.0,294140.0,206.0
5d57a5eda2,"['thank', 'im', 'work']",positive,morning,0-20,Jamaica,2961167.0,10830.0,273.0
1e3561e921,"['lol', 'man', 'got', '2', '1', '2', 'hr', 'iont', 'woulda', 'made', 'wit', 'ramen', 'noodl', 'tv', 'time']",neutral,noon,21-30,Japan,126476461.0,364555.0,347.0
c2ea5cb58b,"['feel', 'well', 'today']",negative,night,31-45,Jordan,10203134.0,88780.0,115.0
cde0016d6d,"['ear', 'hurt', 'medicin', 'gum']",negative,morning,46-60,Kazakhstan,18776707.0,2699700.0,7.0
5fc411e8d1,"['berland', 'lmao', 'know', 'know']",neutral,noon,60-70,Kenya,53771296.0,569140.0,94.0
5ffb19ae8f,"['gnight', 'shar', 'vega']",neutral,night,70-100,Kiribati,119449.0,810.0,147.0
76da985a47,"['underwir', 'bra', 'stick', 'poke', 'armpit']",negative,morning,0-20,Kuwait,4270571.0,17820.0,240.0
3a98aa4762,"['happi', 'mother', 'day']",positive,noon,21-30,Kyrgyzstan,6524195.0,191800.0,34.0
886545bbab,['ye'],neutral,night,31-45,Laos,7275560.0,230800.0,32.0
2afe118dc3,"['cant', 'call', 'mitch', 'im', 'sweden']",neutral,morning,46-60,Latvia,1886198.0,62200.0,30.0
704c53f4cf,"['happi', 'star', 'war', 'day', 'may', 'fourth']",positive,noon,60-70,Lebanon,6825445.0,10230.0,667.0
71fa60d9ff,"['excit', 'eat', 'wartermelon', 'bought', 'day', 'terribl', 'sweet']",neutral,night,70-100,Lesotho,2142249.0,30360.0,71.0
c238c4dbb7,"['watch', 'marley', 'mei', 'cri', 'hard']",negative,morning,0-20,Liberia,5057681.0,96320.0,53.0
dc73e85417,"['take', 'antibacteri', 'school', 'clean', 'hand', 'cant', 'go', 'loo']",neutral,noon,21-30,Libya,6871292.0,1759540.0,4.0
af63915fa9,"['im', 'leav', 'work', 'tri', 'decid', 'return', 'sunday', 'afternoon', 'monday', '4', 'meet', 'noon', 'uk', 'time', 'deadlin']",neutral,night,31-45,Liechtenstein,38128.0,160.0,238.0
eb2fc4d281,"['haaawwel', 'get', 'class', '1050i', 'hope', 'make']",positive,morning,46-60,Lithuania,2722289.0,62700.0,43.0
f9382a1f7b,"['oooh', 'sunshin', 'patch', 'sunshin', 'gone', 'time', 'leav', 'work', 'replac', 'rain', 'vent']",neutral,noon,60-70,Luxembourg,625978.0,2590.0,242.0
54670ca807,"['skype', 'call', 'billi', 'webcam', 'dont', 'work']",neutral,night,70-100,Madagascar,27691018.0,581795.0,48.0
3ab338c459,"['great', 'studi', 'time', 'follow', 'delici', 'japanes', 'meal', 'arti', 'tri', 'get', 'back', 'studi', 'mood']",positive,morning,0-20,Malawi,19129952.0,94280.0,203.0
c7c7f7f025,"['fml', 'car', 'prohibit', 'find', 'job']",negative,noon,21-30,Malaysia,32365999.0,328550.0,99.0
1256e6a4d2,"['lol', 'sinc', 'got', 'twitter', 'littl', 'ago', 'seem', 'like', 'load', 'peopl', 'set', 'account']",neutral,night,31-45,Maldives,540544.0,300.0,1802.0
990cdeae87,"['want', 'see', 'david', 'cook']",positive,morning,46-60,Mali,20250833.0,1220190.0,17.0
9a55d83c79,"['yeh', '2']",neutral,noon,60-70,Malta,441543.0,320.0,1380.0
c8307a482d,"['learn', 'tat', 'scenic', 'way', 'din', 'plan', 'go', 'town', 'somehow', 'herd']",neutral,night,70-100,Marshall Islands,59190.0,180.0,329.0
0a21b662a4,"['dont', 'want', 'anyth', 'specif', 'want', 'see', 'puppi']",neutral,morning,0-20,Mauritania,4649658.0,1030700.0,5.0
297f7d9e0f,"['yeah', 'need', 'fricken', 'cell', 'number', 'ive', 'tri', 'home', 'month', 'he', 'busi', 'miss', 'braddddddddd']",negative,noon,21-30,Mauritius,1271768.0,2030.0,626.0
68901906a4,"['toy', 'stori', '3', 'trailer', 'premier', 'need', 'comput', 'back']",neutral,night,31-45,Mexico,128932753.0,1943950.0,66.0
3112944847,"['ughh', 'phone', 'hp']",neutral,morning,46-60,Micronesia,115023.0,700.0,164.0
8f8334ffa2,"['hand', 'made', 'dan', 'jenn', 'sock', 'blocker', 'made', 'exot', 'wood', 'one', 'call', 'purpl', 'heart']",neutral,noon,60-70,Moldova,4033963.0,32850.0,123.0
322546026e,"['yay', 'break', '200']",positive,night,70-100,Monaco,39242.0,1.0,26337.0
e6c154f9be,"['bahah', 'sadli']",negative,morning,0-20,Mongolia,3278290.0,1553560.0,2.0
e96d849b35,"['alway', 'champion', 'leagu', 'parti', 'ti', 'awesom']",positive,noon,21-30,Montenegro,628066.0,13450.0,47.0
124e30d941,"['well', 'stay', 'away', 'kind', 'surround', 'dont', 'happi', 'mother', 'day', 'ur', 'mom', 'treiz']",positive,night,31-45,Morocco,36910560.0,446300.0,83.0
fbb5742bbb,"['adel', 'didnt', 'repli', 'yet', 'wait', 'till', 'confirm', 'case', 'somebodi', 'might', 'translat', 'alreadi']",neutral,morning,46-60,Mozambique,31255435.0,786380.0,40.0
e90acf3c42,"['that', 'rough', 'hubbi', 'knee', 'surgeri', 'help', 'end', 'let', 'us', 'know', 'result', 'well', 'keep', 'prayer']",negative,noon,60-70,Myanmar (formerly Burma),54409800.0,653290.0,83.0
0b0944285d,"['might', 'go', 'back', 'much', 'earlier', 'expect', 'bye', 'bye', 'bay', 'area']",neutral,night,70-100,Namibia,2540905.0,823000.0,3.0
a11da2d3bf,"['playin', 'citi', 'villain', 'wishin', 'buddi', 'playin']",positive,morning,0-20,Nauru,10824.0,20.0,541.0
161bfc7c8a,"['yep', 'three', 'thing', 'good', 'haircut', 'abil', 'listen', 'valu', 'take', 'serious']",positive,noon,21-30,Nepal,29136808.0,143350.0,203.0
4a65010643,"['riley', 'hack', 'twitter', 'hahaha']",neutral,night,31-45,Netherlands,17134872.0,33720.0,508.0
1b460c82f0,"['big', 'sad', 'face', 'bing', 'doesnt', 'work', 'iphon', 'take', 'regular', 'mobil', 'live', 'search']",neutral,morning,46-60,New Zealand,4822233.0,263310.0,18.0
43e91a5488,"['like', 'record', 'sooth', 'voic']",positive,noon,60-70,Nicaragua,6624554.0,120340.0,55.0
410dd99aa3,"['man', 'im', 'sad', 'school', 'end', 'high', 'school', 'might', 'better']",neutral,night,70-100,Niger,24206644.0,1266700.0,19.0
b3eadfc565,"['folk', 'thought', 'hilari', 'told', 'stori', 'saw', 'shirt', 'wore', 'tonight', 'laughter', 'night']",positive,morning,0-20,Nigeria,206139589.0,910770.0,226.0
480894125b,"['your', 'absout', 'best']",positive,noon,21-30,North Korea,25778816.0,120410.0,214.0
001617fca4,"['oh', 'god', 'cri', 'much', 'watch', 'guy', 'bgt']",neutral,night,31-45,North Macedonia,2083374.0,25220.0,83.0
52f2f23473,"['near', 'daili', 'exercis', 'start', 'show', 'result']",neutral,morning,46-60,Norway,5421241.0,365000.0,15.0
e7e27b0c91,['welcom'],positive,noon,60-70,Oman,5106626.0,309500.0,16.0
834dc73c0c,"['bout', 'hit', 'pmark', 'make', 'one', 'final', 'meal', 'wit', 'housem']",neutral,night,70-100,Pakistan,220892340.0,770880.0,287.0
aeb0e9d730,"['get', 'go', 'home', 'go', 'work']",neutral,morning,0-20,Palau,18094.0,460.0,39.0
c672c9da1d,"['vote', 'cmtcom']",neutral,noon,21-30,Palestine State,5101414.0,6020.0,847.0
cbee1946d3,"['got', 'home', 'nice', 'parti', 'tire', 'yet']",positive,night,31-45,Panama,4314767.0,74340.0,58.0
b1999f0951,['sunburn'],negative,morning,46-60,Papua New Guinea,8947024.0,452860.0,20.0
25510fbf89,"['job', 'nice', 'day', 'better']",positive,noon,60-70,Paraguay,7132538.0,397300.0,18.0
bcb9426abb,"['wish', 'could', 'go', 'bea', 'weekend']",positive,night,70-100,Peru,32971854.0,1280000.0,26.0
0d29624200,"['3', 'rupert', 'grint', 'boy', 'ive', 'accept', 'tht', 'fanci', 'im', 'certain', 'doesnt', 'feel', 'worth', 'tell']",neutral,morning,0-20,Philippines,109581078.0,298170.0,368.0
3f0f5891ab,"['love', 'book']",positive,noon,21-30,Poland,37846611.0,306000.0,124.0
0b34e66ea3,"['ok', 'eye', 'doctor', 'guy', 'take', 'forev', 'im', 'sit', 'cold', 'room', 'myselfwhat', 'jerk']",negative,night,31-45,Portugal,10196709.0,91590.0,111.0
11de8c0456,"['im', 'slow', 'tweetscuas', 'lost', 'phone']",negative,morning,46-60,Qatar,2881053.0,11610.0,248.0
d5712716e9,"['well', 'thank', 'phone']",positive,noon,60-70,Romania,19237691.0,230170.0,84.0
3f90f95beb,"['would', 'take', 'photo', 'stuf', 'anim', 'that', 'pretti', 'funni']",positive,night,70-100,Russia,145934462.0,16376870.0,9.0
c108e09b19,"['tweetdeck', 'act', 'realli', 'strang', 'hum', 'reinstal', 'mayb', 'updat', 'horizon', 'anoth', 'adob', 'memori', 'leak']",neutral,morning,0-20,Rwanda,12952218.0,24670.0,525.0
7223fdccc2,"['tikcet', 'ã¯â¿â½91eachbut', 'want', 'go']",positive,noon,21-30,Saint Kitts and Nevis,53199.0,260.0,205.0
f254748cdb,"['happi', 'mother', 'day']",positive,night,31-45,Saint Lucia,183627.0,610.0,301.0
256453d14f,"['gon', 'na', 'hot', 'today', 'today', 'ryan', 'last', 'day', 'prek', 'cant', 'believ', 'ive', 'sahm', 'sinc']",negative,morning,46-60,Saint Vincent and the Grenadines,110940.0,390.0,284.0
8fd01857a9,"['dream', 'weekend', 'awak']",neutral,noon,60-70,Samoa,198414.0,2830.0,70.0
37227c0dbf,"['oh', 'ive', 'return', 'supermarket', 'doom', 'find', 'noth', 'drink']",negative,night,70-100,San Marino,33931.0,60.0,566.0
20aff2fcb1,"['yay', 'miss', 'naptim']",neutral,morning,0-20,Sao Tome and Principe,219159.0,960.0,228.0
ca223af36e,"['dgroup', 'saturday', 'littl', 'bit', 'footbal', 'hour', 'nap', '3', 'hour', 'soccer', 'basketbal', 'tsu', 'yogurtland', 'life', 'good']",positive,noon,21-30,Saudi Arabia,34813871.0,2149690.0,16.0
90977e9614,"['set', 'new', 'comput', '15min', 'love', 'norton', 'ghost']",positive,night,31-45,Senegal,16743927.0,192530.0,87.0
433b1ab9ea,"['ahhh', 'mommi', 'got', 'new', 'sheet', 'bed', 'comfi']",positive,morning,46-60,Serbia,8737371.0,87460.0,100.0
37771d1bc1,"['celest', 'final', 'sleep', 'silenc']",neutral,noon,60-70,Seychelles,98347.0,460.0,214.0
fa99046452,"['im', '1243', 'im', 'lazi', 'thank', 'god', 'bank', 'holiday']",neutral,night,70-100,Sierra Leone,7976983.0,72180.0,111.0
14760477ad,"['pretti', 'dang', 'tire', 'chamber', 'class', 'nap']",negative,morning,0-20,Singapore,5850342.0,700.0,8358.0
da908a6635,"['poop', 'hog', 'shitter']",negative,noon,21-30,Slovakia,5459642.0,48088.0,114.0
2053a455e9,"['ye', 'im', '50', 'full', 'dvr', '98', 'like', '3', 'day', 'ago', 'lol', 'swear', 'didnt', 'dvr', 'would', 'never', 'watch', 'tv']",neutral,night,31-45,Slovenia,2078938.0,20140.0,103.0
1ea547383b,"['happi', 'muthath', 'day', 'mom', 'salut']",positive,morning,46-60,Solomon Islands,686884.0,28000.0,25.0
6634c62acf,"['hahaha', 'alright']",positive,noon,60-70,Somalia,15893222.0,627340.0,25.0
c7240790da,"['arent', 'supposs', 'support', 'local', 'economi', 'lol', 'good', 'congrat']",positive,night,70-100,South Africa,59308690.0,1213090.0,49.0
08ede23635,"['good', 'know', 'thank']",positive,morning,0-20,South Korea,51269185.0,97230.0,527.0
4e87dcff0e,"['flavor', 'day']",neutral,noon,21-30,South Sudan,11193725.0,610952.0,18.0
4b0b53bc98,"['weather', 'let', 'morningughhada', 'gd', 'nite', 'tho']",neutral,night,31-45,Spain,46754778.0,498800.0,94.0
fd3a622954,"['listen', 'condr', 'scr', 'got', 'invit', 'watch', 'live', 'concert', 'june', '20th', 'munich', 'postrock']",neutral,morning,46-60,Sri Lanka,21413249.0,62710.0,341.0
e34af4fd97,"['elo', 'wow', 'bring', 'back', 'mani', 'happi', 'memori', 'love', 'bandand', 'ye', 'know', 'im', 'show', 'age', 'dont', 'care']",positive,noon,60-70,Sudan,43849260.0,1765048.0,25.0
0e8aa10a4e,"['that', 'cute', 'pictur', 'dont', 'get', 'fat', 'lick', 'bbq', 'must', 'found', 'chop', 'someon', 'els']",positive,night,70-100,Suriname,586632.0,156000.0,4.0
29148dc95c,"['oh', 'love', 'sunday', 'morn', 'like', 'mum', 'made', 'scrambl', 'egg', 'toast']",positive,morning,0-20,Sweden,10099265.0,410340.0,25.0
56a15cf6ca,"['hate', 'work', 'sunnyboohoo']",negative,noon,21-30,Switzerland,8654622.0,39500.0,219.0
b99969c2fb,['onlin'],neutral,night,31-45,Syria,17500658.0,183630.0,95.0
b0f3142cb4,"['bundi', '3', 'day', 'warm', 'weather', 'come']",neutral,morning,46-60,Tajikistan,9537645.0,139960.0,68.0
5ff525b74b,"['wonder', 'cld', 'make', 'thing', 'wors', 'alreadi', 'answer']",negative,noon,60-70,Tanzania,59734218.0,885800.0,67.0
4fd80e66e0,"['dutch', 'market', 'agenc', 'ask', 'job', 'applic', 'appli', '140', 'charact', 'less']",neutral,night,70-100,Thailand,69799978.0,510890.0,137.0
e77a8f8f2d,"['twitter', 'spoil', 'fun', 'frustratingli', 'slow', 'couldnt', 'even', 'bid', 'properli']",negative,morning,0-20,Timor-Leste,1318445.0,14870.0,89.0
4ea7102112,"['chick', 'haha', 'complet', 'agre']",positive,noon,21-30,Togo,8278724.0,54390.0,152.0
6a14956779,"['dont', 'pack', 'cant', 'leav', 'right']",neutral,night,31-45,Tonga,105695.0,720.0,147.0
7c2fcb712e,"['lolwher', 'u', 'head']",neutral,morning,46-60,Trinidad and Tobago,1399488.0,5130.0,273.0
cdd172d6a7,"['go', 'bed', 'great', 'night', 'friend', 'glad', 'know', 'feel', 'class', 'someon', 'els']",positive,noon,60-70,Tunisia,11818619.0,155360.0,76.0
d2a21b3cb7,"['mani', 'mine', 'includ', 'ahem', 'shld', 'known', 'better', 'back', 'wldnt', 'miss', 'mani', 'opportun', 'haha']",negative,night,70-100,Turkey,84339067.0,770000.0,110.0
799e17e7a7,"['nice', 'leav', 'offic', 'sun', 'still']",positive,morning,0-20,Turkmenistan,6031200.0,469930.0,13.0
0a49cdbdf6,"['miss', 'soccer', 'mom']",negative,noon,21-30,Tuvalu,11792.0,30.0,393.0
4a13c1093d,"['garlic', 'pill', 'spider', 'bite', 'toe', 'lolclass', 'alway', 'hungri', 'u', 'kill', '2', 'funni']",neutral,night,31-45,Uganda,45741007.0,199810.0,229.0
9407ce6ccc,"['sigh', 'ah', 'well', 'mayb', 'second', 'email', 'clear', 'get', 'approv']",neutral,morning,46-60,Ukraine,43733762.0,579320.0,75.0
820f19ca44,"['miss', 'tweet', 'joe', 'time', 'differ', 'uk', 'dont', '4get', 'fave', 'support', 'uk']",neutral,noon,60-70,United Arab Emirates,9890402.0,83600.0,118.0
683bb73c09,"['came', 'mind', 'said', 'adapt', 'famili', 'vocabulari']",neutral,night,70-100,United Kingdom,67886011.0,241930.0,281.0
0d14593b11,"['look', 'forward', 'bodi', 'work', 'today']",neutral,morning,0-20,United States of America,331002651.0,9147420.0,36.0
9ac13b3739,"['watch', 'ye', 'man', 'bahaha', 'movi', 'mess']",negative,noon,21-30,Uruguay,3473730.0,175020.0,20.0
